Latitude,Longitude,,,
-7.778419,110.266907,,,
-7.778398,110.267014,,,
-7.778396,110.267067,,,
-7.778385,110.267136,,,
-7.778389,110.267197,,,
-7.778397,110.267273,,,
-7.778384,110.267349,,,
-7.778383,110.267426,,,
-7.77838,110.267502,,,
-7.778389,110.26757,,,
-7.778377,110.267647,,,
-7.778374,110.267723,,,
-7.778396,110.267799,,,
-7.778399,110.267868,,,
-7.778391,110.26796,,,
-7.778402,110.268036,,,
-7.778407,110.268127,,,
-7.778394,110.268242,,,
-7.778385,110.268326,,,
-7.778384,110.268417,,,
-7.778386,110.268494,,,
-7.77838,110.268578,,,
-7.778381,110.268646,,,
-7.778388,110.268753,,,
-7.778381,110.268829,,,
-7.778371,110.268913,,,
-7.778368,110.26899,,,
-7.778344,110.269089,,,
-7.778348,110.269188,,,
-7.778347,110.269279,,,
-7.778339,110.269363,,,
-7.778346,110.269455,,,
-7.778359,110.269539,,,
-7.778366,110.269623,,,
-7.778379,110.269707,,,
-7.778386,110.269798,,,
-7.778405,110.26989,,,
-7.778433,110.269974,,,
-7.778516,110.270058,,,
-7.778538,110.270134,,,
-7.778563,110.270218,,,
-7.778589,110.270302,,,
-7.778611,110.270378,,,
-7.778641,110.270485,,,
-7.778662,110.270561,,,
-7.778685,110.270653,,,
-7.778705,110.270721,,,
-7.778724,110.27079,,,
-7.778749,110.270882,,,
-7.778773,110.270958,,,
-7.7788,110.271042,,,
-7.778827,110.271126,,,
-7.778855,110.271217,,,
-7.77888,110.271294,,,
-7.778907,110.271378,,,
-7.77893,110.271454,,,
-7.778959,110.271538,,,
-7.778988,110.271629,,,
-7.779013,110.271706,,,
-7.779044,110.271805,,,
-7.779078,110.271904,,,
-7.779102,110.27198,,,
-7.779132,110.272072,,,
-7.779159,110.272156,,,
-7.779194,110.272263,,,
-7.779225,110.272354,,,
-7.779261,110.272469,,,
-7.779295,110.272575,,,
-7.779328,110.272675,,,
-7.779362,110.272774,,,
-7.779388,110.272858,,,
-7.779426,110.272972,,,
-7.779451,110.273064,,,
-7.779484,110.273163,,,
-7.779516,110.273262,,,
-7.779554,110.273376,,,
-7.77959,110.273491,,,
-7.779622,110.27359,,,
-7.779651,110.273682,,,
-7.779682,110.273788,,,
-7.779711,110.27388,,,
-7.779736,110.273964,,,
-7.779765,110.274048,,,
-7.779796,110.274147,,,
-7.77983,110.274246,,,
-7.77986,110.27433,,,
-7.779892,110.274429,,,
-7.779923,110.274521,,,
-7.779948,110.274597,,,
-7.779982,110.274696,,,
-7.780012,110.274788,,,
-7.780045,110.274895,,,
-7.780076,110.274986,,,
-7.780103,110.27507,,,
-7.780138,110.275185,,,
-7.78017,110.275284,,,
-7.780202,110.275383,,,
-7.780238,110.275497,,,
-7.780268,110.275589,,,
-7.7803,110.275688,,,
-7.780333,110.275787,,,
-7.780369,110.275894,,,
-7.780404,110.275993,,,
-7.780442,110.276123,,,
-7.780478,110.276237,,,
-7.780509,110.276337,,,
-7.780543,110.276443,,,
-7.780573,110.276543,,,
-7.780602,110.276634,,,
-7.780631,110.276726,,,
-7.780659,110.276817,,,
-7.780691,110.276917,,,
-7.780722,110.277023,,,
-7.780752,110.277115,,,
-7.780785,110.277222,,,
-7.780818,110.277328,,,
-7.78085,110.277435,,,
-7.78088,110.277527,,,
-7.780911,110.277626,,,
-7.780939,110.277718,,,
-7.780962,110.277794,,,
-7.780988,110.277878,,,
-7.781011,110.277954,,,
-7.781038,110.278038,,,
-7.781069,110.278137,,,
-7.781107,110.278252,,,
-7.78114,110.278358,,,
-7.781171,110.27845,,,
-7.7812,110.278542,,,
-7.781228,110.278625,,,
-7.781257,110.278717,,,
-7.781282,110.278793,,,
-7.781308,110.278877,,,
-7.781336,110.278961,,,
-7.781365,110.279053,,,
-7.7814,110.27916,,,
-7.781431,110.279259,,,
-7.781449,110.279312,,,
-7.781475,110.279404,,,
-7.78149,110.279465,,,
-7.781512,110.279541,,,
-7.781539,110.279625,,,
-7.781568,110.279716,,,
-7.781597,110.2798,,,
-7.781615,110.279861,,,
-7.781647,110.279953,,,
-7.781675,110.280037,,,
-7.781705,110.280128,,,
-7.781733,110.280212,,,
-7.781755,110.280281,,,
-7.781785,110.280373,,,
-7.781808,110.280441,,,
-7.781837,110.280533,,,
-7.781857,110.280594,,,
-7.781879,110.28067,,,
-7.781905,110.280754,,,
-7.781919,110.2808,,,
-7.781935,110.280853,,,
-7.781958,110.28093,,,
-7.78197,110.280968,,,
-7.781983,110.281013,,,
-7.78199,110.281044,,,
-7.781998,110.281075,,,
-7.782003,110.28109,,,
-7.782008,110.281113,,,
-7.782014,110.281136,,,
-7.781857,110.28125,,,
-7.781808,110.281281,,,
-7.781727,110.281326,,,
-7.781673,110.281357,,,
-7.781576,110.281418,,,
-7.781475,110.281479,,,
-7.781394,110.281525,,,
-7.781306,110.281578,,,
-7.781218,110.281631,,,
-7.781124,110.281685,,,
-7.781029,110.281738,,,
-7.780931,110.281792,,,
-7.780838,110.281837,,,
-7.780741,110.281891,,,
-7.780628,110.281952,,,
-7.780536,110.282005,,,
-7.780447,110.282059,,,
-7.780354,110.282112,,,
-7.780259,110.282166,,,
-7.780162,110.282227,,,
-7.780062,110.282288,,,
-7.779977,110.282333,,,
-7.779881,110.282394,,,
-7.779781,110.282448,,,
-7.779668,110.282516,,,
-7.779566,110.282578,,,
-7.779449,110.282654,,,
-7.779349,110.282715,,,
-7.779243,110.282776,,,
-7.779141,110.282837,,,
-7.779041,110.282898,,,
-7.778937,110.282959,,,
-7.778833,110.28302,,,
-7.778748,110.283073,,,
-7.77865,110.283127,,,
-7.778547,110.283188,,,
-7.778448,110.283249,,,
-7.778341,110.283318,,,
-7.77825,110.283371,,,
-7.778156,110.283424,,,
-7.77806,110.283485,,,
-7.777961,110.283546,,,
-7.777864,110.2836,,,
-7.777771,110.283661,,,
-7.777665,110.283722,,,
-7.77758,110.283768,,,
-7.777469,110.283836,,,
-7.777353,110.283905,,,
-7.777215,110.283989,,,
-7.777143,110.284027,,,
-7.777042,110.284088,,,
-7.776957,110.284134,,,
-7.776867,110.284187,,,
-7.776768,110.284241,,,
-7.776666,110.284302,,,
-7.776562,110.284355,,,
-7.776458,110.284409,,,
-7.776361,110.284462,,,
-7.776262,110.284515,,,
-7.776175,110.284554,,,
-7.776082,110.284607,,,
-7.776006,110.284645,,,
-7.775916,110.284691,,,
-7.775842,110.284721,,,
-7.775784,110.284752,,,
-7.775722,110.284782,,,
-7.775668,110.284813,,,
-7.77562,110.284836,,,
-7.77557,110.284866,,,
-7.775537,110.284882,,,
-7.7755,110.284897,,,
-7.775454,110.28492,,,
-7.775402,110.28495,,,
-7.775359,110.284973,,,
-7.775311,110.284996,,,
-7.775278,110.285011,,,
-7.775237,110.285034,,,
-7.775207,110.285049,,,
-7.775161,110.28508,,,
-7.775107,110.285103,,,
-7.775045,110.285133,,,
-7.774995,110.285156,,,
-7.774963,110.285172,,,
-7.774791,110.285202,,,
-7.774717,110.28521,,,
-7.774645,110.285225,,,
-7.774559,110.285233,,,
-7.774486,110.285248,,,
-7.774398,110.285255,,,
-7.774326,110.285271,,,
-7.774242,110.285278,,,
-7.774149,110.285294,,,
-7.774066,110.285309,,,
-7.773989,110.285316,,,
-7.773904,110.285332,,,
-7.773806,110.285347,,,
-7.773713,110.285362,,,
-7.773631,110.28537,,,
-7.773533,110.285385,,,
-7.773448,110.2854,,,
-7.773364,110.285408,,,
-7.773312,110.285416,,,
-7.773279,110.285423,,,
-7.773186,110.285469,,,
-7.773129,110.285507,,,
-7.773066,110.285553,,,
-7.772985,110.285614,,,
-7.772924,110.28566,,,
-7.772861,110.285713,,,
-7.772795,110.285767,,,
-7.772744,110.28582,,,
-7.772688,110.285873,,,
-7.772623,110.285934,,,
-7.772565,110.285988,,,
-7.772494,110.286049,,,
-7.77243,110.28611,,,
-7.772361,110.286171,,,
-7.772281,110.286247,,,
-7.772211,110.286316,,,
-7.772151,110.286369,,,
-7.77209,110.286423,,,
-7.772021,110.286484,,,
-7.771958,110.28653,,,
-7.771888,110.286575,,,
-7.771811,110.286621,,,
-7.771732,110.286659,,,
-7.771651,110.286705,,,
-7.771578,110.286736,,,
-7.771485,110.286781,,,
-7.771399,110.286827,,,
-7.771296,110.286873,,,
-7.771207,110.286911,,,
-7.771128,110.286949,,,
-7.771059,110.28698,,,
-7.770983,110.287018,,,
-7.770909,110.287048,,,
-7.770809,110.287117,,,
-7.770749,110.287148,,,
-7.770677,110.287201,,,
-7.77062,110.287224,,,
-7.770564,110.287262,,,
-7.770511,110.287285,,,
-7.770427,110.287331,,,
-7.770373,110.287361,,,
-7.770319,110.287384,,,
-7.770293,110.287399,,,
-7.770226,110.28743,,,
-7.770173,110.28746,,,
-7.770101,110.287491,,,
-7.770041,110.287521,,,
-7.769963,110.28756,,,
-7.769894,110.28759,,,
-7.76982,110.287628,,,
-7.769752,110.287659,,,
-7.76968,110.287697,,,
-7.769615,110.287727,,,
-7.76953,110.287766,,,
-7.769462,110.287796,,,
-7.769399,110.287827,,,
-7.769469,110.287796,,,
-7.769284,110.287888,,,
-7.769225,110.28791,,,
-7.769171,110.287941,,,
-7.769123,110.287964,,,
-7.769097,110.287979,,,
-7.769052,110.288002,,,
-7.76901,110.288017,,,
-7.76895,110.288048,,,
-7.768882,110.288086,,,
-7.768823,110.288109,,,
-7.768764,110.288139,,,
-7.768699,110.28817,,,
-7.768628,110.288208,,,
-7.76856,110.288239,,,
-7.768501,110.288269,,,
-7.768443,110.2883,,,
-7.768373,110.288338,,,
-7.768321,110.288368,,,
-7.768274,110.288422,,,
-7.768219,110.28849,,,
-7.768182,110.288536,,,
-7.768147,110.288582,,,
-7.768113,110.288628,,,
-7.768066,110.288689,,,
-7.768022,110.28875,,,
-7.767999,110.28878,,,
-7.76796,110.288834,,,
-7.767913,110.288887,,,
-7.767861,110.288948,,,
-7.767812,110.289001,,,
-7.767765,110.289055,,,
-7.767648,110.289139,,,
-7.767589,110.289185,,,
-7.767533,110.289223,,,
-7.767472,110.289261,,,
-7.767426,110.289291,,,
-7.767365,110.289337,,,
-7.767305,110.289375,,,
-7.767253,110.289406,,,
-7.767177,110.289459,,,
-7.767117,110.289497,,,
-7.767041,110.289543,,,
-7.766977,110.289581,,,
-7.766913,110.289619,,,
-7.766855,110.28965,,,
-7.766796,110.289688,,,
-7.766747,110.289719,,,
-7.766715,110.289734,,,
-7.766681,110.289757,,,
-7.766646,110.28978,,,
-7.76661,110.289795,,,
-7.766582,110.28981,,,
-7.766561,110.289825,,,
-7.766534,110.289841,,,
-7.766515,110.289848,,,
-7.766474,110.289871,,,
-7.766438,110.289886,,,
-7.766407,110.289902,,,
-7.766369,110.289925,,,
-7.76633,110.289948,,,
-7.766228,110.289986,,,
-7.76618,110.290009,,,
-7.766084,110.290047,,,
-7.766025,110.29007,,,
-7.765946,110.2901,,,
-7.765869,110.290131,,,
-7.765783,110.290169,,,
-7.765705,110.290199,,,
-7.765619,110.29023,,,
-7.765559,110.29026,,,
-7.765495,110.290283,,,
-7.765444,110.290306,,,
-7.765367,110.290329,,,
-7.765303,110.290352,,,
-7.765244,110.290367,,,
-7.765172,110.29039,,,
-7.765103,110.290413,,,
-7.765026,110.290436,,,
-7.764949,110.290451,,,
-7.764884,110.290474,,,
-7.764813,110.290489,,,
-7.764743,110.290504,,,
-7.764652,110.290527,,,
-7.764577,110.290543,,,
-7.764441,110.290558,,,
-7.764347,110.290565,,,
-7.764261,110.290573,,,
-7.764157,110.290581,,,
-7.764066,110.290588,,,
-7.763968,110.290596,,,
-7.763894,110.290604,,,
-7.763807,110.290611,,,
-7.763714,110.290619,,,
-7.763619,110.290627,,,
-7.763515,110.290642,,,
-7.763435,110.290649,,,
-7.763382,110.290657,,,
-7.763329,110.290665,,,
-7.763221,110.290688,,,
-7.763155,110.290703,,,
-7.763083,110.29071,,,
-7.763023,110.290726,,,
-7.762858,110.290787,,,
-7.762789,110.29081,,,
-7.762711,110.290848,,,
-7.762631,110.290878,,,
-7.762537,110.290916,,,
-7.762432,110.290962,,,
-7.762341,110.291008,,,
-7.76225,110.291046,,,
-7.762142,110.2911,,,
-7.762115,110.291115,,,
-7.761942,110.291206,,,
-7.761847,110.291245,,,
-7.761745,110.29129,,,
-7.761642,110.291336,,,
-7.76154,110.291321,,,
-7.76144,110.291389,,,
-7.761364,110.29142,,,
-7.761305,110.291458,,,
-7.761255,110.291466,,,
-7.761212,110.291481,,,
-7.76118,110.291489,,,
-7.761146,110.291489,,,
-7.761082,110.291481,,,
-7.761061,110.291466,,,
-7.761028,110.291481,,,
-7.76099,110.291496,,,
-7.760927,110.29155,,,
-7.760875,110.29158,,,
-7.760824,110.291588,,,
-7.76078,110.291603,,,
-7.760738,110.291626,,,
-7.760613,110.291664,,,
-7.760547,110.291702,,,
-7.760472,110.291725,,,
-7.760385,110.29174,,,
-7.760292,110.291779,,,
-7.760205,110.291809,,,
-7.760105,110.29184,,,
-7.760016,110.29187,,,
-7.759937,110.291901,,,
-7.759843,110.291924,,,
-7.759762,110.291946,,,
-7.759674,110.291977,,,
-7.759577,110.292015,,,
-7.759489,110.292046,,,
-7.759396,110.292076,,,
-7.759295,110.292107,,,
-7.759201,110.29213,,,
-7.759107,110.292152,,,
-7.759027,110.292183,,,
-7.758945,110.292213,,,
-7.758865,110.292244,,,
-7.758779,110.292274,,,
-7.758691,110.292305,,,
-7.758604,110.292328,,,
-7.758502,110.292351,,,
-7.758424,110.292389,,,
-7.758338,110.292427,,,
-7.758264,110.29245,,,
-7.75818,110.292473,,,
-7.758095,110.292488,,,
-7.757998,110.292519,,,
-7.757903,110.292542,,,
-7.757809,110.29258,,,
-7.757719,110.292595,,,
-7.757629,110.292618,,,
-7.757526,110.292641,,,
-7.757422,110.292694,,,
-7.757331,110.292725,,,
-7.757245,110.292763,,,
-7.757155,110.292793,,,
-7.757049,110.292801,,,
-7.756976,110.292824,,,
-7.756888,110.292854,,,
-7.756782,110.292892,,,
-7.756691,110.292915,,,
-7.756605,110.292931,,,
-7.756515,110.292946,,,
-7.756399,110.292969,,,
-7.756298,110.292992,,,
-7.756182,110.292999,,,
-7.756058,110.293007,,,
-7.755946,110.293022,,,
-7.75584,110.293045,,,
-7.755709,110.293068,,,
-7.75561,110.293091,,,
-7.755491,110.293114,,,
-7.755373,110.293114,,,
-7.755256,110.293121,,,
-7.755147,110.293144,,,
-7.755021,110.293144,,,
-7.754901,110.293159,,,
-7.754784,110.293167,,,
-7.754661,110.293175,,,
-7.75454,110.293182,,,
-7.754429,110.29319,,,
-7.754314,110.293198,,,
-7.754241,110.293182,,,
-7.754133,110.293175,,,
-7.75401,110.293205,,,
-7.753858,110.293221,,,
-7.75376,110.293221,,,
-7.753701,110.293228,,,
-7.753629,110.293274,,,
-7.753555,110.29332,,,
-7.753482,110.293304,,,
-7.753369,110.293312,,,
-7.75322,110.293335,,,
-7.75309,110.29332,,,
-7.75295,110.293327,,,
-7.752824,110.293297,,,
-7.75271,110.293304,,,
-7.752586,110.293304,,,
-7.752467,110.293312,,,
-7.752352,110.29332,,,
-7.752246,110.293327,,,
-7.752134,110.293335,,,
-7.752024,110.293343,,,
-7.751889,110.29335,,,
-7.751792,110.293358,,,
-7.751683,110.293358,,,
-7.751568,110.293365,,,
-7.751437,110.293373,,,
-7.751328,110.293381,,,
-7.751216,110.293388,,,
-7.751106,110.293388,,,
-7.750997,110.293396,,,
-7.750891,110.293404,,,
-7.750793,110.293411,,,
-7.750696,110.293419,,,
-7.750593,110.293419,,,
-7.750543,110.293427,,,
-7.750397,110.293434,,,
-7.750305,110.293434,,,
-7.750213,110.293442,,,
-7.750113,110.293449,,,
-7.75001,110.293457,,,
-7.749903,110.293465,,,
-7.749772,110.293472,,,
-7.749671,110.293472,,,
-7.749567,110.29348,,,
-7.749475,110.293488,,,
-7.749389,110.293495,,,
-7.749294,110.293503,,,
-7.749203,110.293503,,,
-7.749097,110.29351,,,
-7.749064,110.29351,,,
-7.748867,110.293526,,,
-7.748757,110.293533,,,
-7.748653,110.293541,,,
-7.748556,110.293549,,,
-7.748445,110.293556,,,
-7.748349,110.293556,,,
-7.748233,110.293564,,,
-7.748125,110.293564,,,
-7.748019,110.293571,,,
-7.747911,110.293579,,,
-7.747858,110.293579,,,
-7.747676,110.293587,,,
-7.747561,110.293594,,,
-7.747449,110.293602,,,
-7.747335,110.29361,,,
-7.74722,110.293617,,,
-7.747104,110.293617,,,
-7.746987,110.293625,,,
-7.746863,110.293633,,,
-7.746751,110.293633,,,
-7.746639,110.29364,,,
-7.746552,110.293648,,,
-7.746436,110.293655,,,
-7.746327,110.293663,,,
-7.746188,110.293678,,,
-7.746073,110.293686,,,
-7.74598,110.293694,,,
-7.745859,110.293701,,,
-7.745732,110.293716,,,
-7.7457,110.293716,,,
-7.745523,110.293777,,,
-7.74542,110.293839,,,
-7.745318,110.293892,,,
-7.745237,110.293938,,,
-7.74515,110.293991,,,
-7.745062,110.294037,,,
-7.744984,110.294083,,,
-7.744903,110.294136,,,
-7.744811,110.294189,,,
-7.744716,110.294243,,,
-7.744616,110.294304,,,
-7.744525,110.294365,,,
-7.744443,110.294418,,,
-7.744357,110.294472,,,
-7.744267,110.294525,,,
-7.744173,110.294586,,,
-7.744073,110.29464,,,
-7.743974,110.294701,,,
-7.743849,110.294785,,,
-7.743749,110.294853,,,
-7.743655,110.294914,,,
-7.743545,110.294991,,,
-7.743435,110.295059,,,
-7.743333,110.295113,,,
-7.743258,110.295189,,,
-7.743188,110.295235,,,
-7.743093,110.295296,,,
-7.743007,110.295357,,,
-7.742894,110.295425,,,
-7.742795,110.295494,,,
-7.74268,110.29557,,,
-7.7426,110.295616,,,
-7.742526,110.29567,,,
-7.742434,110.295731,,,
-7.742353,110.295784,,,
-7.742262,110.295845,,,
-7.742162,110.295906,,,
-7.742072,110.295967,,,
-7.741976,110.296028,,,
-7.741888,110.296089,,,
-7.741788,110.296158,,,
-7.741688,110.296227,,,
-7.741592,110.296288,,,
-7.741504,110.296349,,,
-7.741411,110.29641,,,
-7.741323,110.296471,,,
-7.741232,110.296532,,,
-7.741159,110.296585,,,
-7.741071,110.296646,,,
-7.740984,110.2967,,,
-7.740917,110.296745,,,
-7.740834,110.296806,,,
-7.740733,110.296867,,,
-7.740641,110.296936,,,
-7.740571,110.296982,,,
-7.740485,110.297043,,,
-7.740425,110.297081,,,
-7.740334,110.297142,,,
-7.740255,110.297195,,,
-7.740167,110.297249,,,
-7.740085,110.29731,,,
-7.74001,110.297356,,,
-7.739928,110.297409,,,
-7.739855,110.297462,,,
-7.739794,110.297501,,,
-7.739736,110.297539,,,
-7.739691,110.297569,,,
-7.739628,110.297607,,,
-7.739581,110.297638,,,
-7.739542,110.297668,,,
-7.739496,110.297699,,,
-7.739336,110.297798,,,
-7.739278,110.297836,,,
-7.739208,110.297882,,,
-7.739146,110.297928,,,
-7.739078,110.297974,,,
-7.738989,110.298035,,,
-7.738924,110.298073,,,
-7.738847,110.298126,,,
-7.738761,110.298187,,,
-7.738684,110.298233,,,
-7.738602,110.298286,,,
-7.738525,110.29834,,,
-7.738455,110.298386,,,
-7.738395,110.298424,,,
-7.738311,110.298485,,,
-7.738251,110.298531,,,
-7.738185,110.298584,,,
-7.73812,110.29863,,,
-7.738041,110.298691,,,
-7.737976,110.298737,,,
-7.737926,110.298775,,,
-7.737843,110.298836,,,
-7.737803,110.298866,,,
-7.73769,110.29895,,,
-7.737608,110.299019,,,
-7.737537,110.299072,,,
-7.737458,110.299133,,,
-7.737369,110.299194,,,
-7.737295,110.299263,,,
-7.737208,110.299324,,,
-7.737127,110.299393,,,
-7.737038,110.299454,,,
-7.736945,110.299522,,,
-7.736861,110.299583,,,
-7.736769,110.299652,,,
-7.736668,110.299721,,,
-7.736569,110.299797,,,
-7.736477,110.299866,,,
-7.73634,110.299973,,,
-7.736255,110.300034,,,
-7.736172,110.300095,,,
-7.736089,110.300163,,,
-7.735993,110.300232,,,
-7.735926,110.300285,,,
-7.735835,110.300354,,,
-7.735749,110.300415,,,
-7.735665,110.300484,,,
-7.735588,110.300537,,,
-7.735507,110.300598,,,
-7.735432,110.300659,,,
-7.735336,110.300728,,,
-7.735241,110.300804,,,
-7.735112,110.300903,,,
-7.735043,110.300957,,,
-7.734954,110.301025,,,
-7.734866,110.301094,,,
-7.734779,110.301155,,,
-7.734756,110.301178,,,
-7.73466,110.301254,,,
-7.734581,110.301323,,,
-7.734512,110.301376,,,
-7.734424,110.301445,,,
-7.734334,110.301521,,,
-7.734248,110.301582,,,
-7.734172,110.301643,,,
-7.734106,110.301697,,,
-7.734027,110.301758,,,
-7.733922,110.301842,,,
-7.733839,110.301903,,,
-7.733755,110.301971,,,
-7.733662,110.302048,,,
-7.733583,110.302109,,,
-7.733498,110.30217,,,
-7.733405,110.302246,,,
-7.733301,110.30233,,,
-7.733215,110.302391,,,
-7.733129,110.302452,,,
-7.733029,110.302521,,,
-7.732931,110.302597,,,
-7.73283,110.302666,,,
-7.732749,110.302727,,,
-7.732653,110.302795,,,
-7.732559,110.302856,,,
-7.732474,110.302925,,,
-7.732376,110.303001,,,
-7.732341,110.303024,,,
-7.732178,110.303154,,,
-7.732085,110.303223,,,
-7.731992,110.303291,,,
-7.731889,110.303368,,,
-7.731796,110.303436,,,
-7.731702,110.303505,,,
-7.731609,110.303574,,,
-7.731514,110.30365,,,
-7.731405,110.303726,,,
-7.731306,110.303802,,,
-7.731209,110.303871,,,
-7.73112,110.30394,,,
-7.731023,110.304024,,,
-7.730937,110.304092,,,
-7.730869,110.304146,,,
-7.73075,110.30423,,,
-7.73065,110.304306,,,
-7.730545,110.30439,,,
-7.730459,110.304451,,,
-7.730371,110.30452,,,
-7.73027,110.304604,,,
-7.73016,110.304688,,,
-7.730052,110.304764,,,
-7.72995,110.304848,,,
-7.729851,110.304916,,,
-7.729764,110.304985,,,
-7.729667,110.305061,,,
-7.729572,110.30513,,,
-7.729473,110.305206,,,
-7.729363,110.30529,,,
-7.729267,110.305359,,,
-7.729165,110.305435,,,
-7.729063,110.305511,,,
-7.728964,110.305588,,,
-7.728872,110.305656,,,
-7.728778,110.305725,,,
-7.728681,110.305794,,,
-7.728573,110.30587,,,
-7.728469,110.305946,,,
-7.72836,110.30603,,,
-7.728253,110.306107,,,
-7.728145,110.306183,,,
-7.728028,110.306252,,,
-7.727938,110.306313,,,
-7.727845,110.306366,,,
-7.72775,110.306427,,,
-7.72765,110.306488,,,
-7.727543,110.306541,,,
-7.72748,110.30658,,,
-7.727326,110.306625,,,
-7.727215,110.306664,,,
-7.727084,110.306709,,,
-7.727005,110.306732,,,
-7.726893,110.30677,,,
-7.726758,110.306816,,,
-7.726648,110.306854,,,
-7.726504,110.3069,,,
-7.726382,110.306938,,,
-7.726271,110.306976,,,
-7.726151,110.307014,,,
-7.726013,110.307053,,,
-7.725874,110.307098,,,
-7.725747,110.307137,,,
-7.725629,110.307175,,,
-7.725515,110.307213,,,
-7.7254,110.307251,,,
-7.725277,110.307289,,,
-7.725134,110.307327,,,
-7.725005,110.307365,,,
-7.724868,110.307411,,,
-7.724738,110.307449,,,
-7.724616,110.307495,,,
-7.724484,110.307533,,,
-7.724345,110.307579,,,
-7.724216,110.307625,,,
-7.724045,110.307678,,,
-7.723972,110.307701,,,
-7.723865,110.307739,,,
-7.723731,110.307777,,,
-7.723626,110.307808,,,
-7.723514,110.307846,,,
-7.723429,110.307869,,,
-7.723327,110.307907,,,
-7.72322,110.307938,,,
-7.723149,110.307961,,,
-7.723069,110.307983,,,
-7.722989,110.308014,,,
-7.722898,110.308037,,,
-7.722809,110.308067,,,
-7.72272,110.308098,,,
-7.722661,110.308113,,,
-7.72261,110.308128,,,
-7.722573,110.308144,,,
-7.72255,110.308151,,,
-7.722513,110.308159,,,
-7.722495,110.308167,,,
-7.722476,110.308174,,,
-7.722531,110.308357,,,
-7.722556,110.308395,,,
-7.722601,110.308487,,,
-7.722641,110.308563,,,
-7.722687,110.308655,,,
-7.722723,110.308723,,,
-7.722763,110.308807,,,
-7.722806,110.308891,,,
-7.722849,110.308975,,,
-7.722888,110.309059,,,
-7.722912,110.309105,,,
-7.722943,110.309166,,,
-7.722974,110.309227,,,
-7.723006,110.309296,,,
-7.723033,110.309349,,,
-7.723061,110.309402,,,
-7.723089,110.309456,,,
-7.723115,110.309509,,,
-7.723142,110.309563,,,
-7.723169,110.309624,,,
-7.723186,110.309654,,,
-7.723197,110.309677,,,
-7.723268,110.30983,,,
-7.723286,110.309868,,,
-7.723405,110.310013,,,
-7.723454,110.310066,,,
-7.723492,110.310104,,,
-7.723552,110.310173,,,
-7.723592,110.310219,,,
-7.723645,110.310272,,,
-7.723699,110.310333,,,
-7.723767,110.310417,,,
-7.72382,110.310501,,,
-7.723884,110.310631,,,
-7.723915,110.310692,,,
-7.723948,110.31076,,,
-7.72398,110.310837,,,
-7.724012,110.310905,,,
-7.724038,110.310966,,,
-7.724081,110.311066,,,
-7.724123,110.311165,,,
-7.724161,110.311256,,,
-7.724194,110.311333,,,
-7.724234,110.311432,,,
-7.724277,110.311539,,,
-7.724316,110.31163,,,
-7.724359,110.311737,,,
-7.724415,110.311874,,,
-7.724463,110.311996,,,
-7.724527,110.312119,,,
-7.724581,110.312202,,,
-7.724622,110.312256,,,
-7.724677,110.31234,,,
-7.724746,110.312447,,,
-7.724761,110.312569,,,
-7.724807,110.312698,,,
-7.724842,110.312798,,,
-7.724853,110.312874,,,
-7.72488,110.312988,,,
-7.724936,110.313087,,,
-7.724992,110.313179,,,
-7.725051,110.313278,,,
-7.72511,110.31337,,,
-7.725152,110.313423,,,
-7.72525,110.313538,,,
-7.725325,110.313614,,,
-7.725403,110.31369,,,
-7.725483,110.313774,,,
-7.725554,110.313843,,,
-7.725612,110.313904,,,
-7.725701,110.314072,,,
-7.725725,110.314156,,,
-7.725744,110.31424,,,
-7.725756,110.314301,,,
-7.725771,110.314377,,,
-7.725789,110.314468,,,
-7.725807,110.31456,,,
-7.725827,110.314674,,,
-7.725843,110.314758,,,
-7.725859,110.314835,,,
-7.725877,110.314934,,,
-7.725893,110.315018,,,
-7.725913,110.315132,,,
-7.725926,110.315224,,,
-7.725939,110.315315,,,
-7.72595,110.315407,,,
-7.725961,110.315498,,,
-7.725971,110.31559,,,
-7.725987,110.315689,,,
-7.726005,110.315781,,,
-7.726023,110.31588,,,
-7.726041,110.315971,,,
-7.726058,110.316055,,,
-7.726079,110.316162,,,
-7.726099,110.316261,,,
-7.726117,110.316353,,,
-7.726139,110.316452,,,
-7.72616,110.316559,,,
-7.726182,110.316666,,,
-7.726203,110.316765,,,
-7.726224,110.316864,,,
-7.72624,110.31694,,,
-7.72625,110.316994,,,
-7.726267,110.317078,,,
-7.726285,110.317162,,,
-7.726319,110.317253,,,
-7.726352,110.317314,,,
-7.726381,110.317375,,,
-7.726418,110.317444,,,
-7.726445,110.31749,,,
-7.726489,110.317574,,,
-7.726517,110.317627,,,
-7.726537,110.317665,,,
-7.726563,110.317719,,,
-7.726585,110.317757,,,
-7.726609,110.317802,,,
-7.726654,110.317848,,,
