id	rate
5802391	.097
5802392	.097
5802393	.097
5802394	.097
5802395	.097
5802396	.097
5802397	.097
5802398	.097
5802399	.097
5802400	.097
5802401	.097
5802402	.097
5802403	.097
5802404	.097
5802405	.097
5802406	.097
5802407	.097
5802408	.097
5802409	.097
5802410	.097
5802411	.097
5802412	.097
5802413	.097
5802414	.097
5802415	.097
5802416	.097
5802417	.097
5802418	.097
5802419	.097
5802420	.097
5802421	.097
5802422	.097
5802423	.097
5802424	.097
5802425	.097
5802426	.097
5802427	.097
5802428	.097
5802429	.097
5802430	.097
5802431	.097
5802432	.097
5802433	.097
5802434	.097
5802435	.097
5802436	.097
